,filepaths,labels
0,../input/100-bird-species/train/AFRICAN CROWNED CRANE/001.jpg,AFRICAN CROWNED CRANE
1,../input/100-bird-species/train/AFRICAN CROWNED CRANE/002.jpg,AFRICAN CROWNED CRANE
2,../input/100-bird-species/train/AFRICAN CROWNED CRANE/003.jpg,AFRICAN CROWNED CRANE
3,../input/100-bird-species/train/AFRICAN CROWNED CRANE/004.jpg,AFRICAN CROWNED CRANE
4,../input/100-bird-species/train/AFRICAN CROWNED CRANE/005.jpg,AFRICAN CROWNED CRANE
5,../input/100-bird-species/train/AFRICAN CROWNED CRANE/006.jpg,AFRICAN CROWNED CRANE
6,../input/100-bird-species/train/AFRICAN CROWNED CRANE/007.jpg,AFRICAN CROWNED CRANE
7,../input/100-bird-species/train/AFRICAN CROWNED CRANE/008.jpg,AFRICAN CROWNED CRANE
8,../input/100-bird-species/train/AFRICAN CROWNED CRANE/009.jpg,AFRICAN CROWNED CRANE
9,../input/100-bird-species/train/AFRICAN CROWNED CRANE/010.jpg,AFRICAN CROWNED CRANE
10,../input/100-bird-species/train/AFRICAN CROWNED CRANE/011.jpg,AFRICAN CROWNED CRANE
11,../input/100-bird-species/train/AFRICAN CROWNED CRANE/012.jpg,AFRICAN CROWNED CRANE
12,../input/100-bird-species/train/AFRICAN CROWNED CRANE/013.jpg,AFRICAN CROWNED CRANE
13,../input/100-bird-species/train/AFRICAN CROWNED CRANE/014.jpg,AFRICAN CROWNED CRANE
14,../input/100-bird-species/train/AFRICAN CROWNED CRANE/015.jpg,AFRICAN CROWNED CRANE
15,../input/100-bird-species/train/AFRICAN CROWNED CRANE/016.jpg,AFRICAN CROWNED CRANE
16,../input/100-bird-species/train/AFRICAN CROWNED CRANE/017.jpg,AFRICAN CROWNED CRANE
17,../input/100-bird-species/train/AFRICAN CROWNED CRANE/018.jpg,AFRICAN CROWNED CRANE
18,../input/100-bird-species/train/AFRICAN CROWNED CRANE/019.jpg,AFRICAN CROWNED CRANE
19,../input/100-bird-species/train/AFRICAN CROWNED CRANE/020.jpg,AFRICAN CROWNED CRANE
20,../input/100-bird-species/train/AFRICAN CROWNED CRANE/021.jpg,AFRICAN CROWNED CRANE
21,../input/100-bird-species/train/AFRICAN CROWNED CRANE/022.jpg,AFRICAN CROWNED CRANE
22,../input/100-bird-species/train/AFRICAN CROWNED CRANE/023.jpg,AFRICAN CROWNED CRANE
23,../input/100-bird-species/train/AFRICAN CROWNED CRANE/024.jpg,AFRICAN CROWNED CRANE
24,../input/100-bird-species/train/AFRICAN CROWNED CRANE/025.jpg,AFRICAN CROWNED CRANE
25,../input/100-bird-species/train/AFRICAN CROWNED CRANE/026.jpg,AFRICAN CROWNED CRANE
26,../input/100-bird-species/train/AFRICAN CROWNED CRANE/027.jpg,AFRICAN CROWNED CRANE
27,../input/100-bird-species/train/AFRICAN CROWNED CRANE/028.jpg,AFRICAN CROWNED CRANE
28,../input/100-bird-species/train/AFRICAN CROWNED CRANE/029.jpg,AFRICAN CROWNED CRANE
29,../input/100-bird-species/train/AFRICAN CROWNED CRANE/030.jpg,AFRICAN CROWNED CRANE
30,../input/100-bird-species/train/AFRICAN CROWNED CRANE/031.jpg,AFRICAN CROWNED CRANE
31,../input/100-bird-species/train/AFRICAN CROWNED CRANE/032.jpg,AFRICAN CROWNED CRANE
32,../input/100-bird-species/train/AFRICAN CROWNED CRANE/033.jpg,AFRICAN CROWNED CRANE
33,../input/100-bird-species/train/AFRICAN CROWNED CRANE/034.jpg,AFRICAN CROWNED CRANE
34,../input/100-bird-species/train/AFRICAN CROWNED CRANE/035.jpg,AFRICAN CROWNED CRANE
35,../input/100-bird-species/train/AFRICAN CROWNED CRANE/036.jpg,AFRICAN CROWNED CRANE
36,../input/100-bird-species/train/AFRICAN CROWNED CRANE/037.jpg,AFRICAN CROWNED CRANE
37,../input/100-bird-species/train/AFRICAN CROWNED CRANE/038.jpg,AFRICAN CROWNED CRANE
38,../input/100-bird-species/train/AFRICAN CROWNED CRANE/039.jpg,AFRICAN CROWNED CRANE
39,../input/100-bird-species/train/AFRICAN CROWNED CRANE/040.jpg,AFRICAN CROWNED CRANE
40,../input/100-bird-species/train/AFRICAN CROWNED CRANE/041.jpg,AFRICAN CROWNED CRANE
41,../input/100-bird-species/train/AFRICAN CROWNED CRANE/042.jpg,AFRICAN CROWNED CRANE
42,../input/100-bird-species/train/AFRICAN CROWNED CRANE/043.jpg,AFRICAN CROWNED CRANE
43,../input/100-bird-species/train/AFRICAN CROWNED CRANE/044.jpg,AFRICAN CROWNED CRANE
44,../input/100-bird-species/train/AFRICAN CROWNED CRANE/045.jpg,AFRICAN CROWNED CRANE
45,../input/100-bird-species/train/AFRICAN CROWNED CRANE/046.jpg,AFRICAN CROWNED CRANE
46,../input/100-bird-species/train/AFRICAN CROWNED CRANE/047.jpg,AFRICAN CROWNED CRANE
47,../input/100-bird-species/train/AFRICAN CROWNED CRANE/048.jpg,AFRICAN CROWNED CRANE
48,../input/100-bird-species/train/AFRICAN CROWNED CRANE/049.jpg,AFRICAN CROWNED CRANE
49,../input/100-bird-species/train/AFRICAN CROWNED CRANE/050.jpg,AFRICAN CROWNED CRANE
50,../input/100-bird-species/train/AFRICAN CROWNED CRANE/051.jpg,AFRICAN CROWNED CRANE
51,../input/100-bird-species/train/AFRICAN CROWNED CRANE/052.jpg,AFRICAN CROWNED CRANE
52,../input/100-bird-species/train/AFRICAN CROWNED CRANE/053.jpg,AFRICAN CROWNED CRANE
53,../input/100-bird-species/train/AFRICAN CROWNED CRANE/054.jpg,AFRICAN CROWNED CRANE
54,../input/100-bird-species/train/AFRICAN CROWNED CRANE/055.jpg,AFRICAN CROWNED CRANE
55,../input/100-bird-species/train/AFRICAN CROWNED CRANE/056.jpg,AFRICAN CROWNED CRANE
56,../input/100-bird-species/train/AFRICAN CROWNED CRANE/057.jpg,AFRICAN CROWNED CRANE
57,../input/100-bird-species/train/AFRICAN CROWNED CRANE/058.jpg,AFRICAN CROWNED CRANE
58,../input/100-bird-species/train/AFRICAN CROWNED CRANE/059.jpg,AFRICAN CROWNED CRANE
59,../input/100-bird-species/train/AFRICAN CROWNED CRANE/061.jpg,AFRICAN CROWNED CRANE
60,../input/100-bird-species/train/AFRICAN CROWNED CRANE/062.jpg,AFRICAN CROWNED CRANE
61,../input/100-bird-species/train/AFRICAN CROWNED CRANE/063.jpg,AFRICAN CROWNED CRANE
62,../input/100-bird-species/train/AFRICAN CROWNED CRANE/064.jpg,AFRICAN CROWNED CRANE
63,../input/100-bird-species/train/AFRICAN CROWNED CRANE/065.jpg,AFRICAN CROWNED CRANE
64,../input/100-bird-species/train/AFRICAN CROWNED CRANE/066.jpg,AFRICAN CROWNED CRANE
65,../input/100-bird-species/train/AFRICAN CROWNED CRANE/067.jpg,AFRICAN CROWNED CRANE
66,../input/100-bird-species/train/AFRICAN CROWNED CRANE/068.jpg,AFRICAN CROWNED CRANE
67,../input/100-bird-species/train/AFRICAN CROWNED CRANE/069.jpg,AFRICAN CROWNED CRANE
68,../input/100-bird-species/train/AFRICAN CROWNED CRANE/070.jpg,AFRICAN CROWNED CRANE
69,../input/100-bird-species/train/AFRICAN CROWNED CRANE/071.jpg,AFRICAN CROWNED CRANE
70,../input/100-bird-species/train/AFRICAN CROWNED CRANE/072.jpg,AFRICAN CROWNED CRANE
71,../input/100-bird-species/train/AFRICAN CROWNED CRANE/073.jpg,AFRICAN CROWNED CRANE
72,../input/100-bird-species/train/AFRICAN CROWNED CRANE/074.jpg,AFRICAN CROWNED CRANE
73,../input/100-bird-species/train/AFRICAN CROWNED CRANE/075.jpg,AFRICAN CROWNED CRANE
74,../input/100-bird-species/train/AFRICAN CROWNED CRANE/076.jpg,AFRICAN CROWNED CRANE
75,../input/100-bird-species/train/AFRICAN CROWNED CRANE/077.jpg,AFRICAN CROWNED CRANE
76,../input/100-bird-species/train/AFRICAN CROWNED CRANE/078.jpg,AFRICAN CROWNED CRANE
77,../input/100-bird-species/train/AFRICAN CROWNED CRANE/079.jpg,AFRICAN CROWNED CRANE
78,../input/100-bird-species/train/AFRICAN CROWNED CRANE/080.jpg,AFRICAN CROWNED CRANE
79,../input/100-bird-species/train/AFRICAN CROWNED CRANE/081.jpg,AFRICAN CROWNED CRANE
80,../input/100-bird-species/train/AFRICAN CROWNED CRANE/082.jpg,AFRICAN CROWNED CRANE
81,../input/100-bird-species/train/AFRICAN CROWNED CRANE/083.jpg,AFRICAN CROWNED CRANE
82,../input/100-bird-species/train/AFRICAN CROWNED CRANE/084.jpg,AFRICAN CROWNED CRANE
83,../input/100-bird-species/train/AFRICAN CROWNED CRANE/085.jpg,AFRICAN CROWNED CRANE
84,../input/100-bird-species/train/AFRICAN CROWNED CRANE/086.jpg,AFRICAN CROWNED CRANE
85,../input/100-bird-species/train/AFRICAN CROWNED CRANE/087.jpg,AFRICAN CROWNED CRANE
86,../input/100-bird-species/train/AFRICAN CROWNED CRANE/088.jpg,AFRICAN CROWNED CRANE
87,../input/100-bird-species/train/AFRICAN CROWNED CRANE/089.jpg,AFRICAN CROWNED CRANE
88,../input/100-bird-species/train/AFRICAN CROWNED CRANE/090.jpg,AFRICAN CROWNED CRANE
89,../input/100-bird-species/train/AFRICAN CROWNED CRANE/091.jpg,AFRICAN CROWNED CRANE
90,../input/100-bird-species/train/AFRICAN CROWNED CRANE/092.jpg,AFRICAN CROWNED CRANE
91,../input/100-bird-species/train/AFRICAN CROWNED CRANE/093.jpg,AFRICAN CROWNED CRANE
92,../input/100-bird-species/train/AFRICAN CROWNED CRANE/094.jpg,AFRICAN CROWNED CRANE
93,../input/100-bird-species/train/AFRICAN CROWNED CRANE/095.jpg,AFRICAN CROWNED CRANE
94,../input/100-bird-species/train/AFRICAN CROWNED CRANE/096.jpg,AFRICAN CROWNED CRANE
95,../input/100-bird-species/train/AFRICAN CROWNED CRANE/097.jpg,AFRICAN CROWNED CRANE
